ClusterBout,CougID,ClusID,StudySite,BearBeforeBout,AvianBeforeBout,AnyScavenger,MammalScavenger,NonBearMamnmalScavenger,CarcassAge,CachingTime,FeedingTime,RestingTime,VigilantTime,UnknownTime,OtherTime,SumTime,KillorShared,PreySpecies,Non.focalAdultCougarPresent,Habitat,Year,BearSeason,KitteninBout,BearHarvestDensity,CanopyCover.scale,DemographicStatus,PropVig,PropCache,PropFeed,PropRelax,DistancetoRoad,DensityofRoads_510,DensityofRoads_990,DensityofRoads_2490,thi210
BC01-030_Bout1,BC01,BC01-030,Books,N,N,Y,Y,Y,78.4,0,0,0,32.675,0,0,32.675,kill,Deer,N,pinyon/juniper,2019,Y,N,-0.151573975,-0.756469351,None,1,0,0,0,0.352976089,-0.468364321,-0.682142472,-0.361835079,-0.221029583
BC01-030_Bout2,BC01,BC01-030,Books,N,N,Y,Y,Y,80.4,0,154.401,0,223.769,0,9.195,387.365,kill,Deer,N,pinyon/juniper,2019,Y,N,-0.151573975,-0.756469351,None,0.57766964,0,0.398593058,0,0.352976089,-0.468364321,-0.682142472,-0.361835079,-0.221029583
BC01-030_Bout3,BC01,BC01-030,Books,N,N,Y,Y,Y,83.5,0,961.867,0,59.953,0,18.81,1040.63,kill,Deer,N,pinyon/juniper,2019,Y,N,-0.151573975,-0.756469351,None,0.057612216,0,0.924312195,0,0.352976089,-0.468364321,-0.682142472,-0.361835079,-0.221029583
BC01-030_Bout4,BC01,BC01-030,Books,N,N,Y,Y,Y,87.3,91.563,283.06,61.426,66.07,64.681,9.176,575.976,kill,Deer,N,pinyon/juniper,2019,Y,N,-0.151573975,-0.756469351,None,0.114709641,0.158970165,0.491444088,0.106646805,0.352976089,-0.468364321,-0.682142472,-0.361835079,-0.221029583
BC01-030_Bout5,BC01,BC01-030,Books,N,N,Y,Y,Y,103.3,0,1.459,0,28.817,0,0,30.276,kill,Deer,N,pinyon/juniper,2019,Y,N,-0.151573975,-0.756469351,None,0.951810015,0,0.048189985,0,0.352976089,-0.468364321,-0.682142472,-0.361835079,-0.221029583
BC01-030_Bout6,BC01,BC01-030,Books,N,N,Y,Y,Y,111.7,23.129,0,0,0,0,0,23.129,kill,Deer,N,pinyon/juniper,2019,Y,N,-0.151573975,-0.756469351,None,0,1,0,0,0.352976089,-0.468364321,-0.682142472,-0.361835079,-0.221029583
BC01-030_Bout7,BC01,BC01-030,Books,N,N,Y,Y,Y,128,0,0,0,11.027,0,0,11.027,kill,Deer,N,pinyon/juniper,2019,Y,N,-0.151573975,-0.756469351,None,1,0,0,0,0.352976089,-0.468364321,-0.682142472,-0.361835079,-0.221029583
BC01-034_Bout1,BC01,BC01-034,Books,N,N,N,N,N,74.4,0,0,0,21.378,80.956,0,102.334,kill,Elk,N,pinyon/juniper,2019,Y,N,-0.151573975,-0.19653837,None,0.208904177,0,0,0,-0.450553011,-0.468364321,-0.682142472,1.134917477,0.704929439
BC01-034_Bout2,BC01,BC01-034,Books,N,N,N,N,N,82.1,33.499,0,0,0,9.32,0,42.819,kill,Elk,N,pinyon/juniper,2019,Y,N,-0.151573975,-0.19653837,None,0,0.782339616,0,0,-0.450553011,-0.468364321,-0.682142472,1.134917477,0.704929439
BC01-034_Bout3,BC01,BC01-034,Books,N,Y,Y,N,N,94.2,0,0,0,32.491,67.524,0,100.015,kill,Elk,N,pinyon/juniper,2019,Y,N,-0.151573975,-0.19653837,None,0.324861271,0,0,0,-0.450553011,-0.468364321,-0.682142472,1.134917477,0.704929439
