CougarInterval,CougarID,ClusterID_unique,PreyGroup,DurationatKill,PreyAgeClass,Site,BearSign,Comb_WeightClass,PreyCategory,CanopyPercent,DemographicStatus,BearDisplacement,CoverType,thi150,Dist2road,DensityofRoads_990,DensityofRoads_5010,BearHarvestDensity,DurationatKill.sqr,MultipleKills,Season,DeerUse_990,ElkUse_990
BC01_1,BC01,BC01-022,Deer,130,Fawn/calf,Books,N,Medium,Deer,24,None,No,coniferous,3.432647472,-1.316151037,1.747604149,-0.078096879,0.038493141,11.40175425,No,Spring,0.786662406,0.994664625
BC01_1,BC01,BC01-023,Deer,190,Adult,Books,N,Large,Deer,20,None,No,coniferous,3.155227532,-0.11771056,-0.763989988,0.014349237,0.038493141,13.78404875,No,Summer,1.287014544,0.590641277
BC01_1,BC01,BC01-027,Elk,46,Neonate,Books,N,Small,Elk,1,None,No,scrub,3.004035112,0.262847969,-0.763989988,-2.596420425,0.038493141,6.782329983,No,Summer,0.200024714,0.378997879
BC01_1,BC01,BC01-029,Elk,50,Neonate,Books,N,Small,Elk,1,None,No,scrub,2.764745545,0.323624129,-0.763989988,-0.060506513,0.038493141,7.071067812,No,Summer,2.10380353,0.688830388
BC01_1,BC01,BC01-030_C,Deer,158,Adult,Books,N,Large,Deer,17,None,No,coniferous,2.823341709,0.558194712,-0.763989988,-0.782717603,0.038493141,12.56980509,Yes,Summer,0.518414343,0.855182652
BC01_1,BC01,BC01-030_B,Elk,56,Neonate,Books,N,Small,Elk,17,None,No,coniferous,3.833155754,0.648213192,-0.763989988,-0.782717603,0.038493141,7.483314774,No,Summer,0.420285147,0.898132983
BC01_1,BC01,BC01-032,Deer,104,Adult,Books,Y,Large,Deer,38,None,Likely.Yes,coniferous,3.417718679,-1.288898513,0.491807081,0.956696005,0.038493141,10.19803903,No,Summer,0.016735067,-0.918591391
BC01_1,BC01,BC01-034,Elk,130,Neonate,Books,N,Small,Elk,27,None,No,coniferous,3.679466393,-0.244595567,-0.763989988,0.612670658,0.038493141,11.40175425,No,Summer,0.240629834,0.064267839
BC01_1,BC01,BC01-035,Deer,44,Neonate,Books,N,Small,Deer,24,None,No,coniferous,2.229100424,-1.5314618,1.453353318,1.167310675,0.038493141,6.633249581,No,Summer,0.111391762,0.684849226
BC01_1,BC01,BC01-036,Deer,58,Neonate,Books,N,Small,Deer,36,None,No,coniferous,2.552077658,0.155459242,-0.763989988,-0.161865162,0.038493141,7.615773106,No,Summer,-0.030127542,-0.660962064
BC01_1,BC01,BC01-037,Deer,56,Yearling/Adult,Books,N,Large,Deer,41,None,No,coniferous,3.03455618,-0.549173955,0.631750419,1.149552474,0.038493141,7.483314774,No,Summer,-0.094339811,0.363512478
BC01_1,BC01,BC01-038,Elk,136,Neonate,Books,Y,Small,Elk,26,None,Likely.Yes,coniferous,4.261506626,-0.206726767,-0.763989988,0.417417397,0.038493141,11.66190379,No,Summer,-0.672567473,0.410460663
BC01_1,BC01,BC01-039,Deer,85,Neonate,Books,Y,Small,Deer,33,None,Unlikely,coniferous,3.05046873,1.003155462,-0.763989988,-1.240917422,0.038493141,9.219544457,No,Summer,0.002927584,0.506053705
BC01_1,BC01,BC01-040,Deer,68,Neonate,Books,N,Small,Deer,64,None,No,coniferous,3.750485901,-0.491725085,-0.082938405,-0.028570449,0.038493141,8.246211251,No,Summer,0.423461429,-0.375618433
BC01_1,BC01,BC01-041,DomesticUngulate,62,Neonate,Books,Y,Medium,OtherUngulate,28,None,Unlikely,coniferous,1.933945724,-0.648053271,0.758887647,1.133696433,0.038493141,7.874007874,No,Summer,-0.03775451,0.102263646
BC02_1,BC02,BC02-008,Elk,130,Fawn/calf,Books,N,Large,Elk,5,None,No,scrub,3.68157132,-1.509411139,1.535504814,1.081692259,0.038493141,11.40175425,No,Spring,0.148412877,0.851696208
BC02_1,BC02,BC02-011,Deer,144,Adult,Books,N,Large,Deer,1,None,No,scrub,2.710821423,-0.130584303,-0.763989988,1.085718656,0.038493141,12,No,Spring,1.623298269,0.984114085
BC02_1,BC02,BC02-013,Deer,98,Adult,Books,Y,Large,Deer,23,None,Likely.Yes,coniferous,2.985271253,1.090802938,-0.763989988,-1.685493257,0.038493141,9.899494937,No,Spring,-0.132312077,-1.075319232
BC02_1,BC02,BC02-018,Elk,170,Fawn/calf,Books,N,Large,Elk,1,None,No,scrub,3.793616607,1.18979435,-0.763989988,-0.64497593,0.038493141,13.03840481,No,Summer,0.947650265,0.187883165
BC02_1,BC02,BC02-021/24,Deer,120,Adult,Books,Y,Large,Deer,25,None,Likely.Yes,coniferous,3.075790005,-1.157812326,0.789046568,0.770403147,0.038493141,10.95445115,No,Summer,-0.450200125,-0.769866665
BC02_1,BC02,BC02-022,Deer,38,Neonate,Books,N,ExtraSmall,Deer,22,None,No,coniferous,2.555268484,0.62257434,-0.763989988,0.676675928,0.038493141,6.164414003,No,Summer,0.188833867,-0.821400189
BC02_1,BC02,BC02-025,UnknownUng,28,Neonate,Books,N,Small,OtherUngulate,14,None,No,coniferous,3.596187913,-0.330480307,-0.2364497,-0.348572993,0.038493141,5.291502622,No,Summer,-0.738350756,-0.822503485
BC02_1,BC02,BC02-027,Elk,48,Neonate,Books,N,Small,Elk,28,None,No,coniferous,2.187931311,0.284319872,-0.763989988,-0.56316592,0.038493141,6.92820323,No,Summer,0.916693975,0.871397605
BC02_1,BC02,BC02-028,Deer,40,Fawn/calf,Books,N,Medium,Deer,1,None,No,other,3.464438064,-0.304668738,-0.333255147,1.020758512,0.038493141,6.32455532,No,Summer,1.025494465,2.166016408
BC02_1,BC02,BC02-030,Elk,48,Neonate,Books,N,Small,Elk,19,None,No,coniferous,2.688425292,-0.893358456,0.789046568,0.128215662,0.038493141,6.92820323,No,Summer,-0.038488247,-0.709836026
BC02_1,BC02,BC02-031,Elk,76,Neonate,Books,N,Small,Elk,13,None,No,coniferous,2.491860766,-0.223649909,-0.763989988,-0.13162108,0.038493141,8.717797887,No,Summer,0.115573088,1.992572741
BC02_1,BC02,BC02-033,Deer,66,Adult,Books,Y,Large,Deer,18,None,Unlikely,coniferous,2.456742749,-0.656739298,0.696702926,-0.408704628,0.038493141,8.124038405,No,Summer,0.631061403,1.121996404
BC02_1,BC02,BC02-034,Elk,54,Neonate,Books,N,Small,Elk,1,None,No,coniferous,1.93398102,-1.561785658,0.758887647,-0.660221824,0.038493141,7.348469228,No,Summer,1.062068024,0.069830468
BC02_1,BC02,BC02-035,Deer,24,Neonate,Books,N,Small,Deer,14,None,No,coniferous,3.996667489,2.647246937,-0.763989988,-2.596420425,0.038493141,4.898979486,No,Summer,0.176155599,0.409205831
BC02_1,BC02,BC02-036,Deer,42,Neonate,Books,N,Small,Deer,14,None,No,coniferous,3.421816669,-0.486142619,-0.763989988,0.000121503,0.038493141,6.480740698,No,Summer,0.656338143,2.122875594
