CougarInterval,CougarID,ClusterID_unique,SearchTime,ST_sqr,PreyGroup,PreyAgeClass,Site,BearSign,Comb_WeightClass,PreyCategory,CanopyPercent,DemographicStatus,BearDisplacement,CoverType,Dist2road,DensityofRoads_5010,BearHarvestDensity,MultipleKills,Season,AgeClass,ElkUse_3000,DeerUse_3000,THI_990
BC01_1,BC01,BC01-022,94,9.695359715,Deer,Fawn/calf,Books,N,Medium,Deer,24,None,No,coniferous,-1.316151037,-0.078096879,0.038493141,No,Spring,YoungAdult,0.430284007,0.413809573,14248.05176
BC01_1,BC01,BC01-023,242,15.55634919,Deer,Adult,Books,N,Large,Deer,20,None,No,coniferous,-0.11771056,0.014349237,0.038493141,No,Summer,YoungAdult,0.418988394,0.378489182,3992.030762
BC01_1,BC01,BC01-027,220,14.83239697,Elk,Neonate,Books,N,Small,Elk,1,None,No,scrub,0.262847969,-2.596420425,0.038493141,No,Summer,YoungAdult,0.418988394,0.378489182,14861.37971
BC01_1,BC01,BC01-029,82,9.055385138,Elk,Neonate,Books,N,Small,Elk,1,None,No,scrub,0.323624129,-0.060506513,0.038493141,No,Summer,YoungAdult,0.448462541,0.450214748,16861.96875
BC01_1,BC01,BC01-030_C,0,0,Deer,Adult,Books,N,Large,Deer,17,None,No,coniferous,0.558194712,-0.782717603,0.038493141,Yes,Summer,YoungAdult,0.525133496,0.405150696,15722.47754
BC01_1,BC01,BC01-030_B,379,19.46792233,Elk,Neonate,Books,N,Small,Elk,17,None,No,coniferous,0.648213192,-0.782717603,0.038493141,No,Summer,YoungAdult,0.52763421,0.408138579,16077.83301
BC01_1,BC01,BC01-032,216,14.69693846,Deer,Adult,Books,Y,Large,Deer,38,None,Likely.Yes,coniferous,-1.288898513,0.956696005,0.038493141,No,Summer,YoungAdult,0.332043358,0.367912784,4663.972656
BC01_1,BC01,BC01-034,50,7.071067812,Elk,Neonate,Books,N,Small,Elk,27,None,No,coniferous,-0.244595567,0.612670658,0.038493141,No,Summer,YoungAdult,0.423528797,0.415218315,10807.72461
BC01_1,BC01,BC01-035,30,5.477225575,Deer,Neonate,Books,N,Small,Deer,24,None,No,coniferous,-1.5314618,1.167310675,0.038493141,No,Summer,YoungAdult,0.452496055,0.381937609,9035.091797
BC01_1,BC01,BC01-036,175.9833333,13.265871,Deer,Neonate,Books,N,Small,Deer,36,None,No,coniferous,0.155459242,-0.161865162,0.038493141,No,Summer,YoungAdult,0.364900865,0.377644016,28726.09766
BC01_1,BC01,BC01-037,0,0,Deer,Yearling/Adult,Books,N,Large,Deer,41,None,No,coniferous,-0.549173955,1.149552474,0.038493141,No,Summer,YoungAdult,0.489135767,0.362035296,8697.319336
BC01_1,BC01,BC01-038,0,0,Elk,Neonate,Books,Y,Small,Elk,26,None,Likely.Yes,coniferous,-0.206726767,0.417417397,0.038493141,No,Summer,YoungAdult,0.476328654,0.360459809,12327.80078
BC01_1,BC01,BC01-039,58,7.615773106,Deer,Neonate,Books,Y,Small,Deer,33,None,Unlikely,coniferous,1.003155462,-1.240917422,0.038493141,No,Summer,YoungAdult,0.426927876,0.391303015,17077.80078
BC01_1,BC01,BC01-040,168,12.9614814,Deer,Neonate,Books,N,Small,Deer,64,None,No,coniferous,-0.491725085,-0.028570449,0.038493141,No,Summer,YoungAdult,0.403417927,0.39518377,27827.31445
BC02_1,BC02,BC02-008,202,14.2126704,Elk,Fawn/calf,Books,N,Large,Elk,5,None,No,scrub,-1.509411139,1.081692259,0.038493141,No,Spring,PrimeAdult,0.485113487,0.408657339,20576.46094
BC02_1,BC02,BC02-011,22,4.69041576,Deer,Adult,Books,N,Large,Deer,1,None,No,scrub,-0.130584303,1.085718656,0.038493141,No,Spring,PrimeAdult,0.474329544,0.480039254,9149.969727
BC02_1,BC02,BC02-013,304,17.43559577,Deer,Adult,Books,Y,Large,Deer,23,None,Likely.Yes,coniferous,1.090802938,-1.685493257,0.038493141,No,Spring,PrimeAdult,0.311189999,0.312867955,18736.87109
BC02_1,BC02,BC02-018,30,5.477225575,Elk,Fawn/calf,Books,N,Large,Elk,1,None,No,scrub,1.18979435,-0.64497593,0.038493141,No,Summer,PrimeAdult,0.441494187,0.428404969,10414.68652
BC02_1,BC02,BC02-021/24,0,0,Deer,Adult,Books,Y,Large,Deer,25,None,Likely.Yes,coniferous,-1.157812326,0.770403147,0.038493141,No,Summer,PrimeAdult,0.387451424,0.376542706,18691.89258
BC02_1,BC02,BC02-022,48,6.92820323,Deer,Neonate,Books,N,ExtraSmall,Deer,22,None,No,coniferous,0.62257434,0.676675928,0.038493141,No,Summer,PrimeAdult,0.387509841,0.352849826,22280.1543
BC02_1,BC02,BC02-025,68,8.246211251,UnknownUng,Neonate,Books,N,Small,OtherUngulate,14,None,No,coniferous,-0.330480307,-0.348572993,0.038493141,No,Summer,PrimeAdult,0.363017925,0.319360667,26497.87109
BC02_1,BC02,BC02-027,28,5.291502622,Elk,Neonate,Books,N,Small,Elk,28,None,No,coniferous,0.284319872,-0.56316592,0.038493141,No,Summer,PrimeAdult,0.389532619,0.389446104,14382.84668
BC02_1,BC02,BC02-028,8,2.828427125,Deer,Fawn/calf,Books,N,Medium,Deer,1,None,No,other,-0.304668738,1.020758512,0.038493141,No,Summer,PrimeAdult,0.484414572,0.38098732,4828.436035
BC02_1,BC02,BC02-030,114,10.67707825,Elk,Neonate,Books,N,Small,Elk,19,None,No,coniferous,-0.893358456,0.128215662,0.038493141,No,Summer,PrimeAdult,0.421713357,0.363506499,21049.86133
BC02_1,BC02,BC02-031,26,5.099019514,Elk,Neonate,Books,N,Small,Elk,13,None,No,coniferous,-0.223649909,-0.13162108,0.038493141,No,Summer,PrimeAdult,0.477233231,0.32429283,13574.7041
BC02_1,BC02,BC02-033,168,12.9614814,Deer,Adult,Books,Y,Large,Deer,18,None,Unlikely,coniferous,-0.656739298,-0.408704628,0.038493141,No,Summer,PrimeAdult,0.432544971,0.397818238,11355.50391
BC02_1,BC02,BC02-034,28,5.291502622,Elk,Neonate,Books,N,Small,Elk,1,None,No,coniferous,-1.561785658,-0.660221824,0.038493141,No,Summer,PrimeAdult,0.475746021,0.429005693,4207.412109
BC02_1,BC02,BC02-035,70,8.366600265,Deer,Neonate,Books,N,Small,Deer,14,None,No,coniferous,2.647246937,-2.596420425,0.038493141,No,Summer,PrimeAdult,0.471850631,0.401907278,19658.27344
BC02_1,BC02,BC02-036,50,7.071067812,Deer,Neonate,Books,N,Small,Deer,14,None,No,coniferous,-0.486142619,0.000121503,0.038493141,No,Summer,PrimeAdult,0.499320082,0.386920014,10376.65332
BC02_1,BC02,BC02-037-b,110,10.48808848,Elk,Neonate,Books,Y,Medium,Elk,26,None,No,coniferous,-0.534955991,-0.186333675,0.038493141,Yes,Summer,PrimeAdult,0.461849605,0.40055158,5178.171875
BC02_1,BC02,BC02-040,98,9.899494937,Deer,Neonate,Books,N,Small,Deer,16,None,No,scrub,0.397079635,0.441900641,0.038493141,No,Summer,PrimeAdult,0.395094177,0.348223081,26654.44141
BC02_1,BC02,BC02-041,30,5.477225575,Deer,Neonate,Books,N,Small,Deer,23,None,No,coniferous,-0.579720172,1.063518656,0.038493141,No,Summer,PrimeAdult,0.440903034,0.360241821,11113.99219
BC02_1,BC02,BC02-042,34.01666667,5.832380875,Deer,Neonate,Books,N,Small,Deer,40,None,No,coniferous,-1.445770106,0.703726771,0.038493141,No,Summer,PrimeAdult,0.389678164,0.375568799,22574.86719
BC02_1,BC02,BC02-043,124,11.13552873,OtherUngulate,Adult,Books,N,Large,OtherUngulate,27,None,No,coniferous,-0.048466698,-0.866343849,0.038493141,No,Summer,PrimeAdult,0.38139267,0.340128371,7298.28125
BC02_1,BC02,BC02-044,40,6.32455532,Deer,Adult,Books,Y,Large,Deer,28,None,Likely.Yes,coniferous,0.111805093,0.456496343,0.038493141,No,Summer,PrimeAdult,0.441572322,0.391487432,15124.79785
BC02_1,BC02,BC02-046,74,8.602325267,Deer,Adult,Books,N,Large,Deer,33,None,No,coniferous,0.785105224,-0.559525354,0.038493141,No,Summer,PrimeAdult,0.411053922,0.377195058,29805.92969
BC02_1,BC02,BC02-048,50,7.071067812,Elk,Neonate,Books,Y,Medium,Elk,18,None,Unlikely,scrub,0.122909763,0.918962726,0.038493141,No,Summer,PrimeAdult,0.434946992,0.416526887,11963.06445
BC02_1,BC02,BC02-049,48,6.92820323,Deer,Adult,Books,N,Large,Deer,1,None,No,scrub,-0.820271464,0.624193464,0.038493141,No,Fall,PrimeAdult,0.427509813,0.382491339,9509.538086
BC02_1,BC02,BC02-050,94.01666667,9.696219195,Elk,Neonate,Books,Y,Medium,Elk,1,None,Possible,other,-0.908363384,-0.022806468,0.038493141,No,Fall,PrimeAdult,0.439722354,0.244033223,24335.24609
BC02_1,BC02,BC02-051,100,10,Elk,Neonate,Books,N,Medium,Elk,12,None,No,scrub,-1.012844784,-0.519900341,0.038493141,No,Fall,PrimeAdult,0.355256916,0.271840461,20694.07813
BC02_1,BC02,BC02-053,166,12.88409873,Elk,Neonate,Books,N,Medium,Elk,52,None,No,coniferous,-0.090420589,-0.110669161,0.038493141,No,Fall,PrimeAdult,0.435223473,0.394689878,21391.63281
BC02_1,BC02,BC02-055,62,7.874007874,Deer,Unknown,Books,N,Medium,Deer,5,None,No,other,-0.037848259,0.929484698,0.038493141,No,Fall,PrimeAdult,0.447720862,0.296746529,9879.742188
BC02_1,BC02,BC02-056,38,6.164414003,Elk,Yearling,Books,N,ExtraLarge,Elk,1,None,No,scrub,-0.977579553,1.167310675,0.038493141,No,Fall,PrimeAdult,0.422584635,0.348214424,9387.677734
